[rosmaster.main][INFO] 2017-03-23 16:59:03,358: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-03-23 16:59:03,358: Starting ROS Master Node
[xmlrpc][INFO] 2017-03-23 16:59:03,359: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-03-23 16:59:03,359: Started XML-RPC server [http://BD17011:11311/]
[xmlrpc][INFO] 2017-03-23 16:59:03,359: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-03-23 16:59:03,359: Master initialized: port[11311], uri[http://BD17011:11311/]
[rosmaster.master][INFO] 2017-03-23 16:59:03,381: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-23 16:59:03,382: +PARAM [/roslaunch/uris/host_bd17011__42045] by /roslaunch
[rosmaster.master][INFO] 2017-03-23 16:59:03,407: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-03-23 16:59:03,407: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-03-23 16:59:03,414: +SERVICE [/rosout/get_loggers] /rosout http://BD17011:40958/
[rosmaster.master][INFO] 2017-03-23 16:59:03,415: +SERVICE [/rosout/set_logger_level] /rosout http://BD17011:40958/
[rosmaster.master][INFO] 2017-03-23 16:59:03,416: +PUB [/rosout_agg] /rosout http://BD17011:40958/
[rosmaster.master][INFO] 2017-03-23 16:59:03,418: +SUB [/rosout] /rosout http://BD17011:40958/
[rosmaster.master][INFO] 2017-03-23 16:59:05,117: -PUB [/rosout_agg] /rosout http://BD17011:40958/
[rosmaster.master][INFO] 2017-03-23 16:59:05,117: -SUB [/rosout] /rosout http://BD17011:40958/
[rosmaster.master][INFO] 2017-03-23 16:59:05,118: -SERVICE [/rosout/get_loggers] /rosout rosrpc://BD17011:42611
[rosmaster.master][INFO] 2017-03-23 16:59:05,118: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://BD17011:42611
[rosmaster.main][INFO] 2017-03-23 16:59:05,167: keyboard interrupt, will exit
[rosmaster.main][INFO] 2017-03-23 16:59:05,167: stopping master...
[rospy.core][INFO] 2017-03-23 16:59:05,167: signal_shutdown [atexit]
